Content,UniqueID,CSVFilename
Manning's Passer Rating in the Colts' playoff games against the Broncos and Kansas City Chiefs was a perfect 158.3.,rawdata_0052,rawdata_0052.csv
"He coached at Winston-Salem State University from 1946 to 1993, compiling a 828-447 record.",rawdata_0053,rawdata_0053.csv
He shared the honor with Tennessee Titans quarterback Steve McNair.,rawdata_0054,rawdata_0054.csv
"However, he posted the third lowest passer rating of his career - 35.5 - in the AFC title game against the New England Patriots, throwing four interceptions in a 24-14 loss.",rawdata_0055,rawdata_0055.csv
"He put up even more impressive numbers in his last season (3,819 yards, 36 touchdowns) and finished second in Heisman Trophy voting to The University of Michigan's Charles Woodson, although he was unable to beat arch rival University of Florida for the fourth consecutive time.",rawdata_0056,rawdata_0056.csv
"His mother Jacqueline Kennedy was married to Greek shipping tycoon Aristotle Onassis from 1968 until Onassis's death in 1975, when John was 14 years old.",rawdata_0057,rawdata_0057.csv
"By most accounts, Aristotle Onassis did not play a particularly significant role in young John's life.",rawdata_0058,rawdata_0058.csv
He graduated in 1983 with a bachelor's degree in history.,rawdata_0059,rawdata_0059.csv
Taylor was born with dual British and American citizenship.,rawdata_0060,rawdata_0060.csv
"Christian VII (January 29, 1749–March 13, 1808), King of Denmark and Norway, Duke of Schleswig and Holstein.",rawdata_0061,rawdata_0061.csv
"He was the son of Frederick V, King of Denmark, and his first consort Louisa, daughter of George II of Great Britain.",rawdata_0062,rawdata_0062.csv
He ultimately sank into a condition of mental stupor.,rawdata_0063,rawdata_0063.csv
"Patti was born Adela Juana Maria Patti to Italian parents in Madrid, Spain.",rawdata_0064,rawdata_0064.csv
"Symptoms during this time included paranoia, self-mutilation and hallucinations.",rawdata_0065,rawdata_0065.csv
"He became submissive to upstart Johann Friedrich Struensee, who rose steadily in power in the late 1760s.",rawdata_0066,rawdata_0066.csv
The neglected and lonely Caroline Mathilde drifted into an affair with Struensee.,rawdata_0067,rawdata_0067.csv
"However, it is widely believed that Louise was the daughter of Struensee - portrait comparisons have supported this.",rawdata_0068,rawdata_0068.csv
Struensee was arrested and executed in that same year.,rawdata_0069,rawdata_0069.csv
"Christian signed Struensee's arrest warrant with indifference, and under pressure from his paternal grandmother, Sophie Magdalene of Brandenburg-Kulmbach, who had led the movement to have the marriage dissolved.",rawdata_0070,rawdata_0070.csv
"Caroline Mathilde, retaining her title but not her children, eventually left Denmark in exile and passed her remaining days in neighbouring Celle.",rawdata_0071,rawdata_0071.csv
"She died of cancer there on May 11, 1775.",rawdata_0072,rawdata_0072.csv
"Franklin James Schaffner (May 30, 1920 – July 2, 1989) was an American film director.",rawdata_0073,rawdata_0073.csv
"Talia Shire (born April 25, 1946) is an American actress of Italian descent.",rawdata_0074,rawdata_0074.csv
"He appeared in 1953's Miss Sadie Thompson opposite Rita Hayworth, in 1954's The Caine Mutiny and the MGM musical Deep in My Heart.",rawdata_0075,rawdata_0075.csv
In 1955 Ferrer directed himself in The Shrike.,rawdata_0076,rawdata_0076.csv
"The Cockleshell Heroes followed a year later, along with The Great Man.",rawdata_0077,rawdata_0077.csv
In 1958 Ferrer appeared in I Accuse!,rawdata_0078,rawdata_0078.csv
"Ferrer also directed, but did not appear in, Return to Peyton Place in 1961 and also the re-make of State Fair in 1962.",rawdata_0079,rawdata_0079.csv
Clooney was Ferrer's third wife.,rawdata_0080,rawdata_0080.csv
"The two were married in 1953, divorced in 1961, and remarried in 1964, only to be divorced again in 1967.",rawdata_0081,rawdata_0081.csv
In 1950 Ferrer won an Academy Award for his portrayal of Cyrano de Bergerac in the 1950 film of that name.,rawdata_0082,rawdata_0082.csv
"He played Cyrano yet again in the French movie, Cyrano et D'Artagnan.",rawdata_0083,rawdata_0083.csv
Ferrer also had a recurring role as Julia Duffy's insanely wealthy Waspy father on the popular Newhart television sitcom in the U.S. in the 1980s.,rawdata_0084,rawdata_0084.csv
He also had a memorable recurring role as elegant and flamboyant attorney Reuben Marino on the soap opera Another World in the early 1980s.,rawdata_0085,rawdata_0085.csv
His nephew is the actor Jack Davenport.,rawdata_0086,rawdata_0086.csv
He flew a P-38 Lightning in the North African campaign of November 1942.,rawdata_0087,rawdata_0087.csv
"In his later years he became known as the last Australian politician to advocate, and use, capital punishment.",rawdata_0088,rawdata_0088.csv
He was educated at Skipton primary school and Ballarat Grammar: he was the last Victorian Premier not to have a university education.,rawdata_0089,rawdata_0089.csv
"On 2005-04-12, Bob Dole released his biography One Soldier's Story: A Memoir (ISBN 0060763418), which talks of his World War II experiences and his battle to survive his war injuries.",rawdata_0090,rawdata_0090.csv
"Dole took many odd-jobs around Russell as a boy, and would later work as a soda jerk in the local drug store.",rawdata_0091,rawdata_0091.csv
"He also ran unsuccessfully for the Republican Presidential nomination in 1980 and made a more serious bid for the Republican presidential nomination in 1988, losing to then-Vice President George H.W. Bush.",rawdata_0092,rawdata_0092.csv
"The contest between the two was bitter, although they differed little on issues.",rawdata_0093,rawdata_0093.csv
At one point when a newscaster was conducting a conversation with both of them he asked Dole if he had anything to say to Bush.,rawdata_0094,rawdata_0094.csv
While in the Senate he also served as chairman of the Republican National Committee from 1971 until 1973.,rawdata_0095,rawdata_0095.csv
"Dole studied Law at KU, but his studies were interrupted by the start of World War II.",rawdata_0096,rawdata_0096.csv
"Webster English Young (December 3, 1932 – December 13, 2003) was an American jazz trumpeter and cornetist.",rawdata_0097,rawdata_0097.csv
He is of three quarters Irish and one quarter French descent.,rawdata_0098,rawdata_0098.csv
"He was, for a short time, a commentator opposite Bill Clinton on CBS's 60 Minutes.",rawdata_0099,rawdata_0099.csv
He guest-starred as himself on NBC's Brooke Shields sitcom Suddenly Susan in January 1997 (shortly after losing the presidential election).,rawdata_0100,rawdata_0100.csv
"As their desire for wealth grows, they discard spiritual and creative values.",rawdata_0101,rawdata_0101.csv
"Their greed leads to distrust and dishonesty, and eventually the society crumbles.",rawdata_0102,rawdata_0102.csv
"In The Law of Civilisation and Decay (1895), Adams noted that as new population centers emerged in the west, centers of world trade shifted from Constantinople to Venice to Amsterdam to London.",rawdata_0103,rawdata_0103.csv
He predicted in America's Economic Supremacy (1900) that New York would become the world trade center.,rawdata_0104,rawdata_0104.csv
"She died from multiple strokes and lung cancer on November 6, 2004 in Tarzana, California at the age of 70.",rawdata_0105,rawdata_0105.csv
"During the 1940s, Coppola worked under Arturo Toscanini with the NBC Symphony Orchestra.",rawdata_0106,rawdata_0106.csv
He was the younger brother of actors Lionel and Ethel Barrymore and the grandfather of Drew Barrymore.,rawdata_0107,rawdata_0107.csv
"They had two children, Dolores Ethel Mae Barrymore and John Drew Barrymore (father of Drew Barrymore).",rawdata_0108,rawdata_0108.csv
"When she became pregnant, Barrymore proposed marriage.",rawdata_0109,rawdata_0109.csv
"But White intervened, and arranged for the still-teenaged Evelyn to undergo an operation for appendicitis.",rawdata_0110,rawdata_0110.csv
"White was later murdered by Nesbit's vengeful husband, Pittsburgh millionaire Harry K. Thaw.",rawdata_0111,rawdata_0111.csv
"His dying words were 'Die? I should say not, dear fellow'.",rawdata_0112,rawdata_0112.csv
"In 1964 she went to Reprise again, shifting the next year to Dot Records.",rawdata_0113,rawdata_0113.csv
No Barrymore would allow such a conventional thing to happen to him.,rawdata_0114,rawdata_0114.csv
"According to Errol Flynn's memoirs, film director Raoul Walsh 'borrowed' Barrymore's body after the funeral, and left his corpse propped in a chair for a drunken Flynn to discover when he returned home from The Cock and Bull bar.",rawdata_0115,rawdata_0115.csv
Other accounts of this classic Hollywood tale substitute actor Peter Lorre in the place of Walsh.,rawdata_0116,rawdata_0116.csv
He is also notable in that he is the great great great grandfather of President George W. Bush through his son Reverend James Smith Bush.,rawdata_0117,rawdata_0117.csv
"He left home during the War of 1812 amd married in Rochester on November 8, 1821, Harriet Smith the daughter of Dr. Sanford Smith and Priscilla Whipple Smith.",rawdata_0118,rawdata_0118.csv
He and his wife had seven children.,rawdata_0119,rawdata_0119.csv
"With the aid of an aunt, the young Clampett designed the first Mickey Mouse dolls for Walt Disney.",rawdata_0120,rawdata_0120.csv
She was a researcher and reporter at Thames Television [1980 to 1983].,rawdata_0121,rawdata_0121.csv
"After two years of toiling in California he began passage home, by ship, to retrieve his family in New York.",rawdata_0122,rawdata_0122.csv
"He died, however, aboard ship and was given a sea burial.",rawdata_0123,rawdata_0123.csv
"He was an African-American jazz trumpeter, bandleader, singer, and composer.",rawdata_0124,rawdata_0124.csv
"In 1962, Clampett created an animated version of the show called Beany and Cecil, which ran on ABC for five years.",rawdata_0125,rawdata_0125.csv
The business was dissolved in 1834 due to the difficulties in placing Long's locomotive designs into production.,rawdata_0126,rawdata_0126.csv
"In 1814, he was commissioned a lieutenant of engineers in the United States Army.",rawdata_0127,rawdata_0127.csv
"In March 1819 he married Martha Hodgkins of Philadelphia, Pennsylvania.",rawdata_0128,rawdata_0128.csv
"The following month, as a brevet major in the U.S. Army, he was appointed to lead an expedition through the American West, in areas acquired in the Louisiana Purchase.",rawdata_0129,rawdata_0129.csv
"The specific purpose of the voyage was to the find the sources of the Platte, Arkansas, and Red rivers.",rawdata_0130,rawdata_0130.csv
"For a time in the summer of 1823, his expedition was joined by Italian explorer Giacomo Beltrami.",rawdata_0131,rawdata_0131.csv
She is the well-meaning and patient wife of Homer.,rawdata_0132,rawdata_0132.csv
"Her most notable physical feature is her blue hair, styled into an improbably high beehive.",rawdata_0133,rawdata_0133.csv
"It was once mentioned, by Homer, that she actually dyes her hair blue, as she's been gray as a mule since seventeen.",rawdata_0134,rawdata_0134.csv
"With a few exceptions, Marge spends most of her time tending to housework, minding Maggie, being supportive of Lisa, and either disciplining Bart or defending him from Homer's rage.",rawdata_0135,rawdata_0135.csv
"She was named after Margaret Marge Groening, mother of Matt Groening, creator of The Simpsons.",rawdata_0136,rawdata_0136.csv
"Her father, a former flight attendant (air steward), is deceased, although when or how this occurred has not been explained.",rawdata_0137,rawdata_0137.csv
"Her disapproving mother, Jacqueline, lives on but is rarely seen.",rawdata_0138,rawdata_0138.csv
"All members of the Bouvier family (except, of course, Marge) smoke heavily and have gruff voices and sarcastic, snarky demeanours.",rawdata_0139,rawdata_0139.csv
None of the other Bouvier family members approves of Marge's marriage to Homer.,rawdata_0140,rawdata_0140.csv
"His behaviour is often oafish, clumsy, and insensitive, but he still remains lovable.",rawdata_0141,rawdata_0141.csv
Over the years he has become one of the notable dads in television and the possible template for most bumbling albeit well-meaning fathers.,rawdata_0142,rawdata_0142.csv
"He spends a great deal of his time at Moe's Tavern with his lifelong friends Barney, Carl, Lenny, and bartender Moe.",rawdata_0143,rawdata_0143.csv
"He has rage issues and has been physically and violently abusive, often towards his son, whom he has strangled and even struck on numerous occasions.",rawdata_0144,rawdata_0144.csv
"Four months later, he was killed by a German sniper in World War II.",rawdata_0145,rawdata_0145.csv
"He was also the father of 3 children, including actress Drew Barrymore.",rawdata_0146,rawdata_0146.csv
"His parents divorced when John was around 6 years old in 1935, but he claimed (most likely fallaciously) to have met his father only once.",rawdata_0147,rawdata_0147.csv
"John ran away at age 17 and signed a film contract, but he repeatedly abandoned leading roles and had no major film career.",rawdata_0148,rawdata_0148.csv
"He was cremated, and the ashes were interred in the Eden Memorial Park Cemetery in Mission Hills, Los Angeles, California.",rawdata_0149,rawdata_0149.csv
"Aged 86 at death, Groucho was the longest-lived of all the Marx brothers, though younger brother Zeppo survived him by two years.",rawdata_0150,rawdata_0150.csv
Groucho did a German accent.,rawdata_0151,rawdata_0151.csv
"He was the best-known of modern Brazilian writers, with his work translated into some 30 languages and popularized in film, notably Dona Flor and her Two Husbands in 1978.",rawdata_0152,rawdata_0152.csv
"In this year, he released his first book, O País do Carnaval.",rawdata_0153,rawdata_0153.csv
"Marvin Pierce Bush (born October 22, 1956) is the youngest son of George H. W. Bush and Barbara Pierce, and brother of George W., John (Jeb), Neil and Dorothy.",rawdata_0154,rawdata_0154.csv
He is named for his maternal grandfather.,rawdata_0155,rawdata_0155.csv
He became a banker in Boston and was active in the local Democratic Party.,rawdata_0156,rawdata_0156.csv
HCC is a publicly traded insurance company on the New York Stock Exchange.,rawdata_0157,rawdata_0157.csv
"During his seventh-grade school year, Coltrane experienced three deaths in his close-knit family; he lost his aunt, his grandfather, and his father.",rawdata_0158,rawdata_0158.csv
Coltrane began playing music and practicing obsessively at about this time.,rawdata_0159,rawdata_0159.csv
"Though he was active before 1955, his prime years were between 1955 and 1967, during which time he reshaped modern jazz and influenced generations of other musicians.",rawdata_0160,rawdata_0160.csv
"He passed away from liver disease in his home in Dix Hills, New York.",rawdata_0161,rawdata_0161.csv
Jon is known in the NBA because of the courage and determination he shows on defense and in the clutch time.,rawdata_0162,rawdata_0162.csv
He is a sharp shooter from the three point range and also a very accurate free throw shooter.,rawdata_0163,rawdata_0163.csv
His nickname is Johnny B. Goode.,rawdata_0164,rawdata_0164.csv
Shortly afterwards he retired from the Army as a brevet major.,rawdata_0165,rawdata_0165.csv
"In 1874, at the age of 23, Gifford was a Lieutenant in the 2nd Battalion, 24th Foot (later the South Wales Borderers), British Army during the First Ashanti Expedition, when the following deed took place for which he was awarded the Victoria Cross:",rawdata_0166,rawdata_0166.csv
"James Arlington Wright (December 3, 1927 - March 25, 1980), was an American poet and writer.",rawdata_0167,rawdata_0167.csv
"He graduated and practiced law in a small firm which folded, then moved on to the firm of Rosenman, Colin, Kaye, Petschek and Freund, which had CBS Records as a client.",rawdata_0168,rawdata_0168.csv
"In the 1970s, Arista also had an extensive jazz line, most notably its Freedom imprint, concentrating on contemporary, sometimes avant-garde, musicians and widely praised reissues from the legendary Savoy label.",rawdata_0169,rawdata_0169.csv
"She was seen as a useful conduit for contracting an alliance between Portugal and England, after the treaty of the Pyrenees in 1659 where Portugal was arguably abandoned by France.",rawdata_0170,rawdata_0170.csv
"Following the restoration of Portuguese independence from Spain, and her father's accession to the throne on December 1, 1640, Catherine was engaged to Charles II.",rawdata_0171,rawdata_0171.csv
"Charles II married on May 3 or May 21, 1662, in Portsmouth, and her dowry brought Tangier and Bombay to British control.",rawdata_0172,rawdata_0172.csv
"She was not a particularly popular choice of queen, being a Roman Catholic, and her religion prevented her ever being crowned, since she could not take part in an Anglican service.",rawdata_0173,rawdata_0173.csv
"Despite Charles's reputation as a womaniser, Catherine never gave birth to a live heir, though she had several pregnancies, the last being in 1669.",rawdata_0174,rawdata_0174.csv
"Her position was a difficult one, as Charles continued to have children by his mistresses, but he insisted that she be treated with respect, and refused to divorce her.",rawdata_0175,rawdata_0175.csv
"Following his death, Catherine remained in England through the reign of James II of England and returned to Portugal during the joint reign of William III and Mary II.",rawdata_0176,rawdata_0176.csv
She died in Lisbon in 1705.,rawdata_0177,rawdata_0177.csv
Laurance married Mary French in 1934.,rawdata_0178,rawdata_0178.csv
"Erasmus Darwin (December 12, 1731 – April 18, 1802) trained as a physician and wrote extensively on medicine and botany, as well as poetry.",rawdata_0179,rawdata_0179.csv
"Catherine introduced, and made fashionable, the custom of drinking tea in England.",rawdata_0180,rawdata_0180.csv
"She was very popular and loved by the people, and the Queens borough of New York City was named after her.",rawdata_0181,rawdata_0181.csv
"They had four children: Frederick Dent Grant, Ulysses S. (Buck) Grant, Jr., Ellen (Nellie) Grant, and Jesse Root Grant.",rawdata_0182,rawdata_0182.csv
"Hamer erroneously nominated him as Ulysses Simpson Grant, and although Grant protested the change, it was difficult to resist the bureaucracy.",rawdata_0183,rawdata_0183.csv
"Upon graduation, Grant adopted the form of his new name with middle initial only, never acknowledging that the 'S' stood for Simpson.",rawdata_0184,rawdata_0184.csv
"He graduated from West Point in 1843, ranking 21st in a class of 39.",rawdata_0185,rawdata_0185.csv
"At the academy, he established a reputation as a fearless and expert horseman.",rawdata_0186,rawdata_0186.csv
"Grant drank distilled liquor and, during the American Civil War, began smoking huge numbers of cigars (one story had it that he smoked over 10,000 in five years) which may well have contributed to his throat cancer of later life.",rawdata_0187,rawdata_0187.csv
"His father, a tanner, and his mother were born in Pennsylvania.",rawdata_0188,rawdata_0188.csv
Kennedy was a member of the prominent Kennedy political family.,rawdata_0189,rawdata_0189.csv
"Considered the icon of American liberalism, Kennedy is the youngest person ever to be elected president of the country, at the age of 43.",rawdata_0190,rawdata_0190.csv
"During this period, he published Profiles in Courage, highlighting eight instances in which U.S. Senators risked their careers by standing by their personal beliefs.",rawdata_0191,rawdata_0191.csv
"He was honorably discharged in early 1945, just a few months before the Japanese surrendered.",rawdata_0192,rawdata_0192.csv
"He was reelected twice, but had a mixed voting record, often diverging from President Harry S. Truman and the rest of the Democratic Party.",rawdata_0193,rawdata_0193.csv
"However, the U.S. Navy accepted him in September of that year.",rawdata_0194,rawdata_0194.csv
"By the 1964 election, Reagan was an outspoken supporter of conservative Republican Barry Goldwater.",rawdata_0195,rawdata_0195.csv
"Though these requests were initially laughed off by Reagan, he says in his autobiography, he eventually gave in, after countless sleepless nights.""""",rawdata_0196,rawdata_0196.csv
"His paternal great-grandfather, Michael Reagan, immigrated to the United States from Ballyporeen, County Tipperary, Ireland in the 1860s.",rawdata_0197,rawdata_0197.csv
"Prior to his immigration, the family name was spelled Regan.",rawdata_0198,rawdata_0198.csv
"His maternal great-grandfather, John Wilson, immigrated to the United States from Paisley, Scotland in the early 1800s.",rawdata_0199,rawdata_0199.csv
"His presidency was marked by new economic policies, dubbed Reaganomics and a confrontational foreign policy towards the Soviet Union and Socialist movements around the world.",rawdata_0200,rawdata_0200.csv
"Reagan tried repeatedly to go overseas for combat duty, but was turned down because of his astigmatism.",rawdata_0201,rawdata_0201.csv
"Page recorded several live comedy albums for the Laff Records label in the late 1960's and early 1970's; One release, Watch It Sucker!, was titled after Aunt Esther's catchphrase to cash in on her newfound TV fame.",rawdata_0301,rawdata_0301.csv
"Frank J. Howard (March 25, 1909 - January 26, 1996) was an American college football player and coach.",rawdata_0302,rawdata_0302.csv
He played college football for Alabama and was a teammate of legendary coach Bear Bryant.,rawdata_0303,rawdata_0303.csv
"After a career-ending injury, Howard joined the staff at Clemson College and became head coach in 1939.",rawdata_0304,rawdata_0304.csv
"He was inducted into the College Football Hall of Fame, the South Carolina Sports Hall of Fame, and the Clemson Ring of Honor.",rawdata_0305,rawdata_0305.csv
"Howard was born at Barlow Bend, Alabama (""three wagon greasin's from Mobile"").",rawdata_0306,rawdata_0306.csv
"John Fitzgerald Kennedy (May 29, 1917 - November 22, 1963), often referred to as Jack Kennedy or JFK, was the 35th President of the United States.",rawdata_0307,rawdata_0307.csv
"John Fitzgerald Kennedy (May 29, 1917 - November 22, 1963), also known as JFK, was the 35th president of the United States of America.",rawdata_0308,rawdata_0308.csv
He was the youngest president ever elected and the only Roman Catholic president.,rawdata_0309,rawdata_0309.csv
"Kennedy is also the only Roman Catholic ever to become President, the first president to serve who was born in the 20th century, the last to die while still in office, the last Democrat from the North to be elected, and the last to be elected while serving in the U.S. Senate.",rawdata_0310,rawdata_0310.csv
"Another example of Kennedy's belief in the ability of nonmilitary power to improve the world was the creation of the Peace Corps, one of his first acts as president.",rawdata_0311,rawdata_0311.csv
"Kennedy married his second wife Jacqueline Bouvier on September 12, 1953.",rawdata_0312,rawdata_0312.csv
"During this period, he published Profiles in Courage, highlighting eight instances in which U.S. Senators risked their careers by standing by their personal beliefs.",rawdata_0313,rawdata_0313.csv
The book was awarded the 1957 Pulitzer Prize for Biography.,rawdata_0314,rawdata_0314.csv
"In 1958, Kennedy published the first edition of his book A Nation of Immigrants, closely following his involvement in the Displaced Persons Act and the 1957 bill to bring families together.",rawdata_0316,rawdata_0316.csv
"After World War II, Kennedy entered politics (partly to fill the void of his popular brother, Joseph P. Kennedy, Jr., on whom his family had pinned many of their hopes but who was killed in the war).",rawdata_0317,rawdata_0317.csv
"In 1946, Representative James Michael Curley vacated his seat in an overwhelmingly Democratic district to become mayor of Boston and Kennedy ran for that seat, beating his Republican opponent by a large margin.",rawdata_0318,rawdata_0318.csv
"He was reelected twice, but had a mixed voting record, often diverging from President Harry S. Truman and the rest of the Democratic Party.",rawdata_0319,rawdata_0319.csv
"In the spring of 1941, Kennedy volunteered for the U.S. Army, but was rejected, mainly because of his troublesome back.",rawdata_0320,rawdata_0320.csv
"However, the U.S. Navy accepted him in September of that year.",rawdata_0321,rawdata_0321.csv
"He participated in various commands in the Pacific Theater and earned the rank of lieutenant, commanding a patrol torpedo boat or PT boat.",rawdata_0322,rawdata_0322.csv
"George David Birkhoff (21 March 1884 - 12 November 1944) was an American mathematician, and one of the most important leaders in mathematics in the USA in his generation.",rawdata_0323,rawdata_0323.csv
